Year,Day,Amount_Lost_INR,Incident_Type,City,Category
2024,9,257677,Cyber Bullying,Pune,Educational
2021,3,288313,Hacking,Chennai,E-commerce
2023,25,88468,Phishing,Jaipur,Financial
2023,2,35594,Ransomware,Lucknow,Corporate
2023,12,471173,Ransomware,Kolkata,E-commerce
2023,10,192703,Phishing,Ahmedabad,Financial
2020,9,46033,Data Breach,Ahmedabad,Financial
2020,15,64133,Cyber Bullying,Pune,Health
2021,8,467381,Cyber Bullying,Chennai,Personal
2019,25,74861,Data Breach,Hyderabad,Health
2023,5,184362,Cyber Bullying,Delhi,Corporate
2024,11,488247,Malware,Delhi,Financial
2019,27,294894,Ransomware,Pune,Social Media
2024,2,489371,Online Fraud,Hyderabad,E-commerce
2019,24,41461,Phishing,Pune,Government
2021,28,468016,Cyber Bullying,Delhi,Financial
2023,15,79222,Hacking,Hyderabad,E-commerce
2023,6,113020,Cyber Bullying,Jaipur,Social Media
2022,8,287370,Cyber Bullying,Chennai,Government
2024,27,269865,Identity Theft,Ahmedabad,Health
2019,5,450370,Malware,Lucknow,Health
2019,16,21609,Phishing,Bangalore,Personal
2020,26,446346,Identity Theft,Chennai,E-commerce
2022,18,131513,Identity Theft,Jaipur,Financial
2020,6,204981,Hacking,Delhi,Educational
2020,5,105211,Ransomware,Jaipur,Health
2020,28,187321,Hacking,Pune,Health
2024,16,443111,Ransomware,Hyderabad,Personal
2024,13,488689,Ransomware,Ahmedabad,Government
2021,28,399872,Phishing,Kolkata,Personal
2021,5,388009,Cyber Bullying,Pune,Social Media
2020,13,337664,Phishing,Chennai,Financial
2022,17,457956,Malware,Pune,E-commerce
2019,18,327453,Ransomware,Chennai,Corporate
2024,8,30984,Identity Theft,Kolkata,Corporate
2022,13,119947,Cyber Bullying,Mumbai,E-commerce
2023,19,205894,Online Fraud,Ahmedabad,Government
2024,26,6901,Malware,Lucknow,Social Media
2024,3,163624,Phishing,Lucknow,Health
2021,24,223317,Hacking,Bangalore,Government
2019,8,294199,Malware,Jaipur,Health
2019,2,169757,Malware,Mumbai,Health
2023,8,468181,Cyber Bullying,Lucknow,Corporate
2023,27,146788,Malware,Pune,Government
2024,13,115099,Malware,Jaipur,Social Media
2020,13,12138,Online Fraud,Mumbai,Personal
2021,1,167370,Data Breach,Hyderabad,Health
2021,6,445328,Hacking,Hyderabad,Educational
2024,24,24429,Hacking,Jaipur,Educational
2022,19,51200,Hacking,Chennai,Personal
2020,16,203380,Ransomware,Chennai,Educational
2024,8,442460,Identity Theft,Pune,Financial
2020,28,249289,Data Breach,Mumbai,Health
2020,1,246127,Hacking,Mumbai,Personal
2020,27,364412,Malware,Jaipur,Government
2024,27,237513,Malware,Delhi,Health
2021,16,18347,Hacking,Hyderabad,Personal
2021,9,148992,Cyber Bullying,Mumbai,Corporate
2020,13,32822,Hacking,Jaipur,Social Media
2022,11,440875,Malware,Kolkata,Government
2019,13,41108,Ransomware,Bangalore,Social Media
2024,25,392099,Phishing,Kolkata,Corporate
2019,21,483315,Phishing,Ahmedabad,Health
2022,10,8967,Data Breach,Pune,Government
2024,4,373863,Data Breach,Mumbai,Social Media
2020,27,12871,Hacking,Ahmedabad,Educational
2021,6,226371,Online Fraud,Lucknow,Social Media
2019,28,209524,Hacking,Ahmedabad,Personal
2023,7,206342,Cyber Bullying,Jaipur,Health
2023,5,165685,Hacking,Mumbai,Financial
2022,11,29179,Data Breach,Bangalore,Social Media
2020,13,252537,Phishing,Jaipur,Government
2019,26,184260,Malware,Jaipur,Government
2020,25,318243,Hacking,Pune,E-commerce
2019,19,36262,Malware,Pune,Social Media
2022,23,341357,Malware,Hyderabad,Health
2022,10,380551,Online Fraud,Hyderabad,Health
2023,10,412484,Malware,Chennai,Corporate
2020,11,472082,Phishing,Delhi,E-commerce
2024,21,349413,Ransomware,Mumbai,Social Media
2023,7,61545,Ransomware,Mumbai,Educational
2020,18,235555,Identity Theft,Ahmedabad,Corporate
2023,4,224894,Cyber Bullying,Mumbai,E-commerce
2024,2,204218,Hacking,Mumbai,Social Media
2021,14,466182,Cyber Bullying,Delhi,Social Media
2021,13,303066,Phishing,Lucknow,Corporate
2021,12,473580,Malware,Hyderabad,Educational
2021,7,43913,Ransomware,Hyderabad,E-commerce
2019,2,360177,Cyber Bullying,Bangalore,Social Media
2021,13,367936,Phishing,Mumbai,Social Media
2024,14,251497,Ransomware,Delhi,E-commerce
2022,27,449893,Malware,Hyderabad,Financial
2022,17,496370,Cyber Bullying,Delhi,Corporate
2019,9,444057,Ransomware,Kolkata,Corporate
2021,17,178404,Hacking,Lucknow,Government
2021,8,486278,Data Breach,Mumbai,Educational
2021,2,383007,Hacking,Bangalore,Personal
2023,28,489910,Identity Theft,Ahmedabad,Financial
2020,24,157104,Identity Theft,Hyderabad,E-commerce
2023,13,169918,Ransomware,Kolkata,E-commerce
2020,3,191546,Data Breach,Delhi,E-commerce
2021,16,45936,Phishing,Pune,Financial
2021,6,161866,Hacking,Jaipur,Social Media
2023,19,193660,Phishing,Mumbai,E-commerce
2023,7,203056,Data Breach,Mumbai,E-commerce
2020,10,444547,Phishing,Kolkata,Educational
2022,9,226469,Data Breach,Delhi,Health
2020,2,29141,Ransomware,Chennai,Health
2023,28,403290,Phishing,Mumbai,Government
2024,28,138478,Hacking,Chennai,Government
2023,15,98359,Malware,Pune,E-commerce
2024,5,386423,Identity Theft,Kolkata,Educational
2019,22,155363,Malware,Delhi,E-commerce
2023,4,42568,Phishing,Delhi,Government
2019,20,98539,Malware,Lucknow,Financial
2022,4,47851,Hacking,Jaipur,Financial
2020,18,494158,Hacking,Hyderabad,Social Media
2024,4,55823,Phishing,Hyderabad,Personal
2020,27,24312,Ransomware,Ahmedabad,Health
2019,17,437324,Malware,Bangalore,Educational
2024,12,461134,Ransomware,Kolkata,Corporate
2020,22,428387,Ransomware,Pune,Health
2023,17,435995,Data Breach,Delhi,Corporate
2021,10,200900,Online Fraud,Jaipur,Personal
2019,22,361867,Phishing,Chennai,Personal
2020,1,275555,Identity Theft,Kolkata,E-commerce
2019,22,497037,Hacking,Ahmedabad,Government
2019,26,250062,Hacking,Kolkata,Personal
2024,24,320153,Phishing,Ahmedabad,Personal
2024,27,409638,Data Breach,Delhi,Corporate
2021,18,436684,Cyber Bullying,Bangalore,Government
2023,18,33371,Cyber Bullying,Ahmedabad,Personal
2019,14,58022,Cyber Bullying,Delhi,Health
2020,15,334373,Data Breach,Delhi,Social Media
2022,12,100071,Identity Theft,Bangalore,Personal
2019,4,183268,Hacking,Hyderabad,Social Media
2019,27,474570,Phishing,Kolkata,Government
2021,3,359918,Data Breach,Mumbai,E-commerce
2023,20,490626,Hacking,Mumbai,Educational
2022,12,289859,Ransomware,Chennai,Government
2024,7,290749,Malware,Chennai,Corporate
2024,11,100853,Malware,Mumbai,Educational
2020,1,32174,Data Breach,Pune,Health
2022,6,404172,Hacking,Mumbai,Financial
2024,15,498660,Online Fraud,Chennai,Social Media
2020,15,77373,Identity Theft,Jaipur,Social Media
2023,19,332396,Cyber Bullying,Chennai,Social Media
2020,11,194021,Identity Theft,Pune,Government
2024,26,194718,Identity Theft,Kolkata,Social Media
2021,23,71017,Data Breach,Mumbai,E-commerce
2021,26,64037,Ransomware,Bangalore,Social Media
2021,2,90818,Identity Theft,Jaipur,Corporate
2024,14,7548,Malware,Delhi,Health
2021,2,117981,Ransomware,Pune,Social Media
2022,4,235213,Phishing,Chennai,Social Media
2023,17,205366,Identity Theft,Bangalore,Educational
2020,3,155249,Identity Theft,Ahmedabad,Health
2020,13,287166,Phishing,Hyderabad,Social Media
2024,9,107297,Identity Theft,Mumbai,Government
2021,7,137614,Phishing,Hyderabad,Personal
2021,15,223084,Ransomware,Pune,E-commerce
2019,23,490536,Malware,Ahmedabad,Government
2023,11,61428,Phishing,Ahmedabad,Financial
2022,20,154812,Online Fraud,Ahmedabad,Government
2020,2,322497,Data Breach,Delhi,Educational
2019,15,484569,Data Breach,Pune,Educational
2019,14,114132,Phishing,Kolkata,Social Media
2024,20,188604,Data Breach,Hyderabad,Government
2020,22,17052,Identity Theft,Kolkata,Educational
2024,11,101689,Cyber Bullying,Bangalore,Personal
2022,27,179148,Cyber Bullying,Lucknow,Health
2019,3,447636,Data Breach,Jaipur,Government
2019,17,132743,Ransomware,Jaipur,E-commerce
2023,12,263307,Hacking,Kolkata,Personal
2022,24,304568,Ransomware,Lucknow,Social Media
2019,28,447960,Hacking,Lucknow,Health
2022,21,464547,Cyber Bullying,Mumbai,E-commerce
2020,15,404850,Cyber Bullying,Bangalore,Social Media
2021,16,136870,Phishing,Pune,E-commerce
2019,5,285564,Malware,Lucknow,Social Media
2023,27,121575,Online Fraud,Chennai,E-commerce
2020,20,259230,Ransomware,Jaipur,Health
2022,6,292444,Identity Theft,Chennai,Personal
2024,19,353025,Hacking,Bangalore,E-commerce
2020,25,11749,Data Breach,Lucknow,E-commerce
2019,5,105131,Identity Theft,Hyderabad,Corporate
2022,3,157193,Malware,Jaipur,Government
2021,27,391707,Hacking,Mumbai,Health
2020,1,300631,Ransomware,Mumbai,Social Media
2019,26,226019,Phishing,Ahmedabad,Health
2023,28,427577,Identity Theft,Delhi,Educational
2024,6,284367,Malware,Lucknow,Social Media
2022,15,73930,Ransomware,Bangalore,Health
2020,2,146128,Cyber Bullying,Jaipur,Personal
2020,3,291524,Cyber Bullying,Delhi,Social Media
2021,17,289179,Ransomware,Bangalore,Social Media
2021,25,293764,Ransomware,Kolkata,Health
2023,24,414093,Ransomware,Lucknow,Social Media
2024,12,257553,Hacking,Pune,Corporate
2023,18,449532,Ransomware,Pune,Government
2019,15,196113,Identity Theft,Lucknow,Social Media
2019,12,380504,Malware,Ahmedabad,Government
2023,16,54352,Hacking,Ahmedabad,Health
2020,26,64440,Ransomware,Mumbai,Financial
2020,9,288239,Malware_Attacks,Mumbai,Financial
2020,1,275987,Malware_Attacks,Mumbai,Financial
2020,17,271723,Ransomware,Mumbai,Financial
2020,16,27990,Malware_Attacks,Mumbai,Financial
2020,21,105931,Malware_Attacks,Mumbai,Financial
2020,17,48172,Phishing,Mumbai,Financial
2020,6,287053,Others,Mumbai,Financial
2020,1,39326,Online Fraud,Mumbai,Financial
2020,22,116765,Ransomware,Mumbai,Financial
2020,27,59487,Online Fraud,Mumbai,Financial
2020,18,233189,Phishing,Mumbai,Financial
2020,24,85611,Phishing,Mumbai,Financial
2020,15,178914,Phishing,Mumbai,Financial
2020,3,43403,Phishing,Mumbai,Financial
2020,6,137072,Others,Mumbai,Financial
2020,3,124351,Malware_Attacks,Mumbai,Financial
2020,14,208440,Ransomware,Mumbai,Financial
2020,21,217047,Ransomware,Mumbai,Financial
2020,11,13855,Ransomware,Mumbai,Financial
2020,22,67026,Others,Mumbai,Financial
2020,1,38154,Others,Mumbai,Financial
2020,2,43057,Malware_Attacks,Mumbai,Financial
2020,17,60645,Malware_Attacks,Mumbai,Financial
2020,26,162994,Others,Mumbai,Financial
2020,3,152596,Ransomware,Mumbai,Financial
2020,13,212153,Phishing,Mumbai,Financial
2020,16,86958,Others,Mumbai,Financial
2020,8,76503,Ransomware,Mumbai,Financial
2020,26,291116,Malware_Attacks,Mumbai,Financial
2020,21,80537,Malware_Attacks,Mumbai,Financial
2020,22,200627,Phishing,Mumbai,Financial
2020,18,296016,Online Fraud,Mumbai,Financial
2020,4,26901,Phishing,Mumbai,Financial
2020,19,211612,Others,Mumbai,Financial
2020,18,49630,Malware_Attacks,Mumbai,Financial
2020,7,185277,Online Fraud,Mumbai,Financial
2020,14,273725,Online Fraud,Mumbai,Financial
2020,6,101465,Online Fraud,Mumbai,Financial
2020,20,137509,Online Fraud,Mumbai,Financial
2021,4,100083,Others,Bangalore,Corporate
2021,28,33515,Others,Bangalore,Corporate
2021,15,293182,Phishing,Bangalore,Corporate
2021,10,40317,Malware_Attacks,Bangalore,Corporate
2021,4,108503,Others,Bangalore,Corporate
2021,16,178461,Malware_Attacks,Bangalore,Corporate
2021,5,127962,Phishing,Bangalore,Corporate
2021,10,41599,Online Fraud,Bangalore,Corporate
2021,11,259731,Ransomware,Bangalore,Corporate
2021,11,165261,Others,Bangalore,Corporate
2021,5,196099,Malware_Attacks,Bangalore,Corporate
2021,14,93415,Phishing,Bangalore,Corporate
2021,11,134066,Online Fraud,Bangalore,Corporate
2021,23,233654,Malware_Attacks,Bangalore,Corporate
2021,27,193474,Online Fraud,Bangalore,Corporate
2021,22,178834,Ransomware,Bangalore,Corporate
2021,15,238495,Malware_Attacks,Bangalore,Corporate
2021,25,165155,Ransomware,Bangalore,Corporate
2021,18,62059,Online Fraud,Bangalore,Corporate
2021,21,47977,Malware_Attacks,Bangalore,Corporate
2021,28,78401,Others,Bangalore,Corporate
2021,7,143010,Phishing,Bangalore,Corporate
2021,24,44531,Phishing,Bangalore,Corporate
2021,28,270907,Phishing,Bangalore,Corporate
2021,27,217407,Others,Bangalore,Corporate
2021,7,24218,Others,Bangalore,Corporate
2021,9,289934,Others,Bangalore,Corporate
2021,16,82926,Malware_Attacks,Bangalore,Corporate
2021,13,122076,Others,Bangalore,Corporate
2021,24,157567,Online Fraud,Bangalore,Corporate
2021,15,267732,Others,Bangalore,Corporate
2021,3,213029,Malware_Attacks,Bangalore,Corporate
2021,17,10553,Online Fraud,Bangalore,Corporate
2021,28,91949,Others,Bangalore,Corporate
2021,5,238948,Online Fraud,Bangalore,Corporate
2021,6,81650,Ransomware,Bangalore,Corporate
2021,12,26191,Online Fraud,Bangalore,Corporate
2021,25,260664,Online Fraud,Bangalore,Corporate
2021,3,143599,Malware_Attacks,Bangalore,Corporate
2021,8,27443,Online Fraud,Bangalore,Corporate
2022,17,194399,Ransomware,Delhi,Personal
2022,16,243364,Phishing,Delhi,Personal
2022,2,174906,Phishing,Delhi,Personal
2022,23,278349,Malware_Attacks,Delhi,Personal
2022,27,143053,Others,Delhi,Personal
2022,18,96147,Ransomware,Delhi,Personal
2022,21,203452,Malware_Attacks,Delhi,Personal
2022,19,45809,Others,Delhi,Personal
2022,9,202304,Online Fraud,Delhi,Personal
2022,17,217778,Malware_Attacks,Delhi,Personal
2022,27,185896,Ransomware,Delhi,Personal
2022,26,257764,Others,Delhi,Personal
2022,1,268107,Online Fraud,Delhi,Personal
2022,15,91825,Online Fraud,Delhi,Personal
2022,3,274767,Malware_Attacks,Delhi,Personal
2022,7,83769,Online Fraud,Delhi,Personal
2022,6,194909,Others,Delhi,Personal
2022,23,67039,Online Fraud,Delhi,Personal
2022,14,178132,Phishing,Delhi,Personal
2022,16,256036,Ransomware,Delhi,Personal
2022,7,89539,Ransomware,Delhi,Personal
2022,1,132753,Phishing,Delhi,Personal
2022,5,89478,Online Fraud,Delhi,Personal
2022,21,273772,Phishing,Delhi,Personal
2022,19,81999,Phishing,Delhi,Personal
2022,6,140402,Online Fraud,Delhi,Personal
2022,17,217575,Others,Delhi,Personal
2022,19,14762,Malware_Attacks,Delhi,Personal
2022,3,118557,Ransomware,Delhi,Personal
2022,20,252156,Ransomware,Delhi,Personal
2022,6,120009,Ransomware,Delhi,Personal
2022,20,79822,Others,Delhi,Personal
2022,27,100359,Others,Delhi,Personal
2022,22,272808,Malware_Attacks,Delhi,Personal
2022,6,184658,Ransomware,Delhi,Personal
2022,20,41093,Online Fraud,Delhi,Personal
2022,13,207093,Online Fraud,Delhi,Personal
2022,4,13683,Online Fraud,Delhi,Personal
2022,17,269429,Ransomware,Delhi,Personal
2022,27,83413,Others,Delhi,Personal
2023,4,98020,Ransomware,Lucknow,Government
2023,20,25466,Others,Lucknow,Government
2023,17,66612,Phishing,Lucknow,Government
2023,16,73329,Others,Lucknow,Government
2023,18,5629,Ransomware,Lucknow,Government
2023,17,225559,Malware_Attacks,Lucknow,Government
2023,28,27774,Others,Lucknow,Government
2023,14,125316,Ransomware,Lucknow,Government
2023,26,204877,Malware_Attacks,Lucknow,Government
2023,19,56231,Ransomware,Lucknow,Government
2023,5,138440,Ransomware,Lucknow,Government
2023,25,126903,Phishing,Lucknow,Government
2023,10,290071,Ransomware,Lucknow,Government
2023,9,104101,Phishing,Lucknow,Government
2023,23,8729,Others,Lucknow,Government
2023,17,66776,Others,Lucknow,Government
2023,1,201623,Online Fraud,Lucknow,Government
2023,23,170623,Ransomware,Lucknow,Government
2023,12,60880,Online Fraud,Lucknow,Government
2023,14,137976,Malware_Attacks,Lucknow,Government
2023,28,286073,Ransomware,Lucknow,Government
2023,19,196702,Others,Lucknow,Government
2023,9,213380,Online Fraud,Lucknow,Government
2023,14,294461,Others,Lucknow,Government
2023,16,98700,Malware_Attacks,Lucknow,Government
2023,18,295933,Ransomware,Lucknow,Government
2023,9,165774,Others,Lucknow,Government
2023,12,213734,Online Fraud,Lucknow,Government
2023,28,67435,Online Fraud,Lucknow,Government
2023,15,89827,Phishing,Lucknow,Government
2023,7,271518,Ransomware,Lucknow,Government
2023,26,182438,Others,Lucknow,Government
2023,20,32290,Online Fraud,Lucknow,Government
2023,13,7773,Phishing,Lucknow,Government
2023,27,81193,Ransomware,Lucknow,Government
2023,20,233263,Phishing,Lucknow,Government
2023,3,142935,Online Fraud,Lucknow,Government
2023,12,46963,Others,Lucknow,Government
2023,2,206497,Ransomware,Lucknow,Government
2023,20,278156,Malware_Attacks,Lucknow,Government
2024,23,35127,Online Fraud,Chennai,Social Media
2024,21,264191,Ransomware,Chennai,Social Media
2024,1,110752,Others,Chennai,Social Media
2024,10,107103,Phishing,Chennai,Social Media
2024,26,272674,Others,Chennai,Social Media
2024,23,126462,Others,Chennai,Social Media
2024,6,23906,Malware_Attacks,Chennai,Social Media
2024,8,5150,Online Fraud,Chennai,Social Media
2024,3,149670,Ransomware,Chennai,Social Media
2024,12,212168,Ransomware,Chennai,Social Media
2024,19,110020,Others,Chennai,Social Media
2024,1,40975,Phishing,Chennai,Social Media
2024,18,154156,Others,Chennai,Social Media
2024,19,187502,Malware_Attacks,Chennai,Social Media
2024,27,149969,Online Fraud,Chennai,Social Media
2024,20,106987,Ransomware,Chennai,Social Media
2024,13,7438,Malware_Attacks,Chennai,Social Media
2024,6,218455,Others,Chennai,Social Media
2024,4,297883,Phishing,Chennai,Social Media
2024,17,159272,Malware_Attacks,Chennai,Social Media
2024,4,274110,Malware_Attacks,Chennai,Social Media
2024,18,136146,Ransomware,Chennai,Social Media
2024,13,258561,Online Fraud,Chennai,Social Media
2024,25,183080,Ransomware,Chennai,Social Media
2024,22,246550,Others,Chennai,Social Media
2024,28,19339,Ransomware,Chennai,Social Media
2024,4,140171,Phishing,Chennai,Social Media
2024,13,120543,Online Fraud,Chennai,Social Media
2024,26,170533,Ransomware,Chennai,Social Media
2024,12,275796,Others,Chennai,Social Media
2024,1,143071,Online Fraud,Chennai,Social Media
2024,10,53763,Ransomware,Chennai,Social Media
2024,22,184302,Phishing,Chennai,Social Media
2024,18,98577,Ransomware,Chennai,Social Media
2024,11,190355,Online Fraud,Chennai,Social Media
2024,19,146073,Online Fraud,Chennai,Social Media
2024,24,104702,Ransomware,Chennai,Social Media
2024,24,109682,Online Fraud,Chennai,Social Media
2024,24,131907,Malware_Attacks,Chennai,Social Media
2024,7,125170,Online Fraud,Chennai,Social Media
